2025-03-27 12:47:33 | INFO | bot | bot_test.py:563 | Starting bot and reminder service
2025-03-27 12:47:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:47:33.584486
2025-03-27 12:47:33 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:47:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-9.559741433333333
2025-03-27 12:47:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-2.5597414333333335
2025-03-27 12:48:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:48:33.580943
2025-03-27 12:48:33 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:48:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-10.559682383333334
2025-03-27 12:48:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-3.559682383333333
2025-03-27 12:49:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:49:33.581800
2025-03-27 12:49:33 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:49:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-11.559696666666667
2025-03-27 12:49:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-4.5596966666666665
2025-03-27 12:50:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:50:33.582881
2025-03-27 12:50:33 | INFO | bot | bot_test.py:481 | Found 3 tasks to check
2025-03-27 12:50:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-12.559714683333334
2025-03-27 12:50:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-5.5597146833333335
2025-03-27 12:50:33 | INFO | bot | bot_test.py:488 | Task 14: задача 30 at 13:10 on 2025-3-27, time_diff=19.440285316666667
2025-03-27 12:50:33 | INFO | bot | bot_test.py:512 | Sent 15-minute reminder for task 14
2025-03-27 12:51:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:51:33.691509
2025-03-27 12:51:33 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:51:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-13.56152515
2025-03-27 12:51:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-6.56152515
2025-03-27 12:52:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:52:33.695669
2025-03-27 12:52:33 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:52:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-14.561594483333332
2025-03-27 12:52:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-7.561594483333334
2025-03-27 12:53:33 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:53:33.705218
2025-03-27 12:53:33 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:53:33 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-15.561753633333332
2025-03-27 12:53:33 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-8.561753633333332
2025-03-27 12:53:47 | INFO | bot | bot_test.py:562 | Starting bot and reminder service
2025-03-27 12:53:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:53:47.397585
2025-03-27 12:53:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:53:47 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-15.789959750000001
2025-03-27 12:53:47 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-8.789959750000001
2025-03-27 12:54:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:54:47.396279
2025-03-27 12:54:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:54:47 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-16.789937983333335
2025-03-27 12:54:47 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-9.789937983333335
2025-03-27 12:55:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:55:47.397968
2025-03-27 12:55:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:55:47 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-17.789966133333333
2025-03-27 12:55:47 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-10.789966133333333
2025-03-27 12:56:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:56:47.399381
2025-03-27 12:56:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:56:47 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-18.78998968333333
2025-03-27 12:56:47 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-11.789989683333333
2025-03-27 12:57:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:57:47.402165
2025-03-27 12:57:47 | INFO | bot | bot_test.py:481 | Found 3 tasks to check
2025-03-27 12:57:47 | INFO | bot | bot_test.py:488 | Task 5: задача5 at 12:38 on 2025-3-27, time_diff=-19.790036083333334
2025-03-27 12:57:47 | INFO | bot | bot_test.py:488 | Task 6: задача6 at 12:45 on 2025-3-27, time_diff=-12.790036083333332
2025-03-27 12:57:47 | INFO | bot | bot_test.py:488 | Task 15: аврапр at 13:20 on 2025-3-27, time_diff=22.209963916666666
2025-03-27 12:58:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:58:47.403380
2025-03-27 12:58:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:58:47 | INFO | bot | bot_test.py:488 | Task 15: аврапр at 13:20 on 2025-3-27, time_diff=21.209943666666668
2025-03-27 12:58:47 | INFO | bot | bot_test.py:488 | Task 16: веавапвапв at 13:15 on 2025-3-27, time_diff=16.209943666666668
2025-03-27 12:59:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 12:59:47.412108
2025-03-27 12:59:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 12:59:47 | INFO | bot | bot_test.py:488 | Task 15: аврапр at 13:20 on 2025-3-27, time_diff=20.2097982
2025-03-27 12:59:47 | INFO | bot | bot_test.py:488 | Task 16: веавапвапв at 13:15 on 2025-3-27, time_diff=15.2097982
2025-03-27 13:00:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 13:00:47.414811
2025-03-27 13:00:47 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 13:00:47 | INFO | bot | bot_test.py:488 | Task 15: аврапр at 13:20 on 2025-3-27, time_diff=19.209753149999997
2025-03-27 13:00:47 | INFO | bot | bot_test.py:488 | Task 16: веавапвапв at 13:15 on 2025-3-27, time_diff=14.209753150000001
2025-03-27 13:00:47 | INFO | bot | bot_test.py:512 | Sent 15-minute reminder for task 16
2025-03-27 13:01:47 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 13:01:47.564352
2025-03-27 13:01:47 | INFO | bot | bot_test.py:481 | Found 1 tasks to check
2025-03-27 13:01:47 | INFO | bot | bot_test.py:488 | Task 15: аврапр at 13:20 on 2025-3-27, time_diff=18.207260799999997
2025-03-27 13:01:57 | INFO | bot | bot_test.py:562 | Starting bot and reminder service
2025-03-27 13:01:57 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 13:01:57.805853
2025-03-27 13:01:57 | INFO | bot | bot_test.py:481 | Found 1 tasks to check
2025-03-27 13:01:57 | INFO | bot | bot_test.py:488 | Task 15: аврапр at 13:20 on 2025-3-27, time_diff=18.036569116666666
2025-03-27 13:02:57 | INFO | bot | bot_test.py:472 | Checking reminders at 2025-03-27 13:02:57.820783
2025-03-27 13:02:57 | INFO | bot | bot_test.py:481 | Found 2 tasks to check
2025-03-27 13:02:57 | INFO | bot | bot_test.py:488 | Task 17: 123 at 13:20 on 2025-3-27, time_diff=17.036320283333332
2025-03-27 13:02:57 | INFO | bot | bot_test.py:488 | Task 18: 234 at 15:10 on 2025-3-27, time_diff=127.03632028333332
